Lower layer Super Output Areas Code,Lower layer Super Output Areas,Ethnic group (20 categories) Code,Ethnic group (20 categories),Observation
E01008288,Newcastle upon Tyne 027A,-8,Does not apply,0
E01008288,Newcastle upon Tyne 027A,1,"Asian, Asian British or Asian Welsh: Bangladeshi",29
E01008288,Newcastle upon Tyne 027A,2,"Asian, Asian British or Asian Welsh: Chinese",11
E01008288,Newcastle upon Tyne 027A,3,"Asian, Asian British or Asian Welsh: Indian",36
E01008288,Newcastle upon Tyne 027A,4,"Asian, Asian British or Asian Welsh: Pakistani",52
E01008288,Newcastle upon Tyne 027A,5,"Asian, Asian British or Asian Welsh: Other Asian",19
E01008288,Newcastle upon Tyne 027A,6,"Black, Black British, Black Welsh, Caribbean or African: African",7
E01008288,Newcastle upon Tyne 027A,7,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",0
E01008288,Newcastle upon Tyne 027A,8,"Black, Black British, Black Welsh, Caribbean or African: Other Black",1
E01008288,Newcastle upon Tyne 027A,9,Mixed or Multiple ethnic groups: White and Asian,14
E01008288,Newcastle upon Tyne 027A,10,Mixed or Multiple ethnic groups: White and Black African,3
E01008288,Newcastle upon Tyne 027A,11,Mixed or Multiple ethnic groups: White and Black Caribbean,2
E01008288,Newcastle upon Tyne 027A,12,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,10
E01008288,Newcastle upon Tyne 027A,13,"White: English, Welsh, Scottish, Northern Irish or British",1108
E01008288,Newcastle upon Tyne 027A,14,White: Irish,2
E01008288,Newcastle upon Tyne 027A,15,White: Gypsy or Irish Traveller,0
E01008288,Newcastle upon Tyne 027A,16,White: Roma,0
E01008288,Newcastle upon Tyne 027A,17,White: Other White,44
E01008288,Newcastle upon Tyne 027A,18,Other ethnic group: Arab,0
E01008288,Newcastle upon Tyne 027A,19,Other ethnic group: Any other ethnic group,13
E01008289,Newcastle upon Tyne 027B,-8,Does not apply,0
E01008289,Newcastle upon Tyne 027B,1,"Asian, Asian British or Asian Welsh: Bangladeshi",123
E01008289,Newcastle upon Tyne 027B,2,"Asian, Asian British or Asian Welsh: Chinese",7
E01008289,Newcastle upon Tyne 027B,3,"Asian, Asian British or Asian Welsh: Indian",24
E01008289,Newcastle upon Tyne 027B,4,"Asian, Asian British or Asian Welsh: Pakistani",36
E01008289,Newcastle upon Tyne 027B,5,"Asian, Asian British or Asian Welsh: Other Asian",45
E01008289,Newcastle upon Tyne 027B,6,"Black, Black British, Black Welsh, Caribbean or African: African",18
E01008289,Newcastle upon Tyne 027B,7,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",2
E01008289,Newcastle upon Tyne 027B,8,"Black, Black British, Black Welsh, Caribbean or African: Other Black",4
E01008289,Newcastle upon Tyne 027B,9,Mixed or Multiple ethnic groups: White and Asian,10
E01008289,Newcastle upon Tyne 027B,10,Mixed or Multiple ethnic groups: White and Black African,15
E01008289,Newcastle upon Tyne 027B,11,Mixed or Multiple ethnic groups: White and Black Caribbean,5
E01008289,Newcastle upon Tyne 027B,12,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,8
E01008289,Newcastle upon Tyne 027B,13,"White: English, Welsh, Scottish, Northern Irish or British",1309
E01008289,Newcastle upon Tyne 027B,14,White: Irish,5
E01008289,Newcastle upon Tyne 027B,15,White: Gypsy or Irish Traveller,2
E01008289,Newcastle upon Tyne 027B,16,White: Roma,0
E01008289,Newcastle upon Tyne 027B,17,White: Other White,49
E01008289,Newcastle upon Tyne 027B,18,Other ethnic group: Arab,19
E01008289,Newcastle upon Tyne 027B,19,Other ethnic group: Any other ethnic group,59
E01008290,Newcastle upon Tyne 027C,-8,Does not apply,0
E01008290,Newcastle upon Tyne 027C,1,"Asian, Asian British or Asian Welsh: Bangladeshi",64
E01008290,Newcastle upon Tyne 027C,2,"Asian, Asian British or Asian Welsh: Chinese",35
E01008290,Newcastle upon Tyne 027C,3,"Asian, Asian British or Asian Welsh: Indian",13
E01008290,Newcastle upon Tyne 027C,4,"Asian, Asian British or Asian Welsh: Pakistani",21
E01008290,Newcastle upon Tyne 027C,5,"Asian, Asian British or Asian Welsh: Other Asian",43
E01008290,Newcastle upon Tyne 027C,6,"Black, Black British, Black Welsh, Caribbean or African: African",123
E01008290,Newcastle upon Tyne 027C,7,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",5
E01008290,Newcastle upon Tyne 027C,8,"Black, Black British, Black Welsh, Caribbean or African: Other Black",23
E01008290,Newcastle upon Tyne 027C,9,Mixed or Multiple ethnic groups: White and Asian,21
E01008290,Newcastle upon Tyne 027C,10,Mixed or Multiple ethnic groups: White and Black African,5
E01008290,Newcastle upon Tyne 027C,11,Mixed or Multiple ethnic groups: White and Black Caribbean,15
E01008290,Newcastle upon Tyne 027C,12,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,16
E01008290,Newcastle upon Tyne 027C,13,"White: English, Welsh, Scottish, Northern Irish or British",1130
E01008290,Newcastle upon Tyne 027C,14,White: Irish,2
E01008290,Newcastle upon Tyne 027C,15,White: Gypsy or Irish Traveller,2
E01008290,Newcastle upon Tyne 027C,16,White: Roma,8
E01008290,Newcastle upon Tyne 027C,17,White: Other White,118
E01008290,Newcastle upon Tyne 027C,18,Other ethnic group: Arab,10
E01008290,Newcastle upon Tyne 027C,19,Other ethnic group: Any other ethnic group,38
E01008291,Newcastle upon Tyne 027D,-8,Does not apply,0
E01008291,Newcastle upon Tyne 027D,1,"Asian, Asian British or Asian Welsh: Bangladeshi",138
E01008291,Newcastle upon Tyne 027D,2,"Asian, Asian British or Asian Welsh: Chinese",30
E01008291,Newcastle upon Tyne 027D,3,"Asian, Asian British or Asian Welsh: Indian",19
E01008291,Newcastle upon Tyne 027D,4,"Asian, Asian British or Asian Welsh: Pakistani",55
E01008291,Newcastle upon Tyne 027D,5,"Asian, Asian British or Asian Welsh: Other Asian",82
E01008291,Newcastle upon Tyne 027D,6,"Black, Black British, Black Welsh, Caribbean or African: African",286
E01008291,Newcastle upon Tyne 027D,7,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",4
E01008291,Newcastle upon Tyne 027D,8,"Black, Black British, Black Welsh, Caribbean or African: Other Black",12
E01008291,Newcastle upon Tyne 027D,9,Mixed or Multiple ethnic groups: White and Asian,13
E01008291,Newcastle upon Tyne 027D,10,Mixed or Multiple ethnic groups: White and Black African,24
E01008291,Newcastle upon Tyne 027D,11,Mixed or Multiple ethnic groups: White and Black Caribbean,3
E01008291,Newcastle upon Tyne 027D,12,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,12
E01008291,Newcastle upon Tyne 027D,13,"White: English, Welsh, Scottish, Northern Irish or British",998
E01008291,Newcastle upon Tyne 027D,14,White: Irish,11
