ref,x1,y1,x2,y2,angCONN,axCONN,axid,axLEN,axref,CONN,segLEN,CH,INT,NC,TD,NACH,NAIN
44,423989.493872,563852.00382,424027.464155,563844.983676,1.5972437,4,43,38.613792,42,4,38.613792,2902732,1634.6451,8597,45213.734,1.38826890095921,1.16392963728668
45,424027.464155,563844.983676,424066.596259,563838.62663,1.8485153,4,44,39.645096,43,4,39.645096,2909335,1635.1738,8597,45199.113,1.38852276508872,1.16430612835288
46,424066.596259,563838.62663,424137.735868,563828.178987,2.2508116,4,45,71.902695,44,4,71.902695,2903650,1635.2115,8597,45198.07,1.38834327552035,1.16433299493277
47,424137.735868,563828.178987,424162.686003,563820.856579,3.2385037,5,46,26.002439,45,5,26.002439,2926005,1639.179,8597,45088.676,1.38937286370334,1.16715777058368
93,423049.558682,564620.253874,423091.725216,564607.149316,3.9939404,5,91,44.15593,90,5,44.15593,41276,1440.0627,8597,51323.047,0.979910211198668,1.02538499135268
94,423091.725216,564607.149316,423120.305317,564612.370413,4.3084764,6,92,29.053089,91,6,29.053089,67665,1481.7311,8597,49879.773,1.02818674097873,1.05505337338893
95,423120.305317,564612.370413,423147.763206,564617.975415,4.0656953,6,93,28.024128,92,6,28.024128,367524,1505.3041,8597,49098.656,1.18635106186764,1.07183767309078
96,423147.763206,564617.975415,423172.775248,564621.175426,4.0408883,6,94,25.215914,93,6,25.215914,388027,1510.2352,8597,48938.344,1.19173759435964,1.07534865047681
97,423172.775248,564621.175426,423200.320842,564623.364826,4.036562,6,95,27.632467,94,6,27.632467,421767,1513.8638,8597,48821.043,1.1997255360215,1.07793225576437
98,423200.320842,564623.364826,423227.828799,564625.398405,4.0008836,6,96,27.583023,95,6,27.583023,446739,1513.8593,8597,48821.188,1.20505324143478,1.07792905441306
99,423227.828799,564625.398405,423256.159179,564626.824345,4.0345049,6,97,28.366243,96,6,28.366243,497048,1515.6658,8597,48763,1.21507185959183,1.0792152747723
100,423256.159179,564626.824345,423282.333113,564628.105778,4.0078855,6,98,26.205284,97,6,26.205284,547726,1514.6245,8597,48796.523,1.22398794553924,1.07847388893863
101,423282.333113,564628.105778,423310.166411,564629.095489,4.0749893,6,99,27.850889,98,6,27.850889,615854,1505.0548,8597,49106.789,1.23412301319534,1.07166016401404
102,423310.166411,564629.095489,423338.488777,564627.083274,4.0873361,6,100,28.393757,99,6,28.393757,640233,1505.6779,8597,49086.469,1.23776447946839,1.07210377398959
103,422082.810265,563375.430927,422096.306406,563390.514942,6.6030178,8,101,20.240389,100,8,20.240389,471482,1367.625,8597,54041.43,1.1987670826685,0.973808155297897
104,422082.810265,563375.430927,422089.302902,563350.201241,5.2487917,7,102,26.051706,101,7,26.051706,646958,1314.1925,8597,56238.648,1.22332752829348,0.935763273464968
